3905.52,300,Silicon
3955.74,10,Silicon
3977.46,10,Silicon
3991.77,15,Silicon
3998.01,10,Silicon
4075.45,20,Silicon
4076.78,15,Silicon
4102.94,70,Silicon
4128.07,300,Silicon
4130.89,500,Silicon
4183.35,10,Silicon
4190.72,100,Silicon
4198.13,50,Silicon
4621.42,100,Silicon
4621.72,150,Silicon
4782.99,50,Silicon
4792.21,35,Silicon
4792.32,80,Silicon
4883.2,15,Silicon
4906.99,20,Silicon
4932.8,20,Silicon
4947.61,30,Silicon
5006.06,40,Silicon
5041.03,1000,Silicon
5055.98,1000,Silicon
5181.9,100,Silicon
5185.25,100,Silicon
5192.86,200,Silicon
5202.41,500,Silicon
5295.19,30,Silicon
5405.34,100,Silicon
5417.24,15,Silicon
5428.92,15,Silicon
5432.89,15,Silicon
5438.62,100,Silicon
5447.26,20,Silicon
5454.49,15,Silicon
5456.45,100,Silicon
5466.43,500,Silicon
5466.87,500,Silicon
5469.21,100,Silicon
5493.23,40,Silicon
5496.45,200,Silicon
5517.54,35,Silicon
5540.74,100,Silicon
5576.66,150,Silicon
5622.22,30,Silicon
5632.97,100,Silicon
5639.48,200,Silicon
5645.61,90,Silicon
5660.66,150,Silicon
5665.55,80,Silicon
5669.56,1000,Silicon
5681.44,30,Silicon
5684.48,120,Silicon
5688.81,300,Silicon
5690.43,100,Silicon
5701.11,90,Silicon
5701.37,200,Silicon
5706.37,100,Silicon
5708.4,160,Silicon
5747.67,45,Silicon
5753.63,45,Silicon
5754.22,45,Silicon
5762.98,45,Silicon
5772.15,70,Silicon
5780.38,70,Silicon
5785.73,30,Silicon
5793.07,90,Silicon
5794.9,30,Silicon
5797.86,100,Silicon
5800.47,150,Silicon
5806.74,200,Silicon
5827.8,30,Silicon
5846.13,50,Silicon
5867.48,10,Silicon
5868.4,300,Silicon
5873.76,40,Silicon
5915.22,150,Silicon
5948.55,200,Silicon
5957.56,500,Silicon
5978.93,500,Silicon
6067.45,10,Silicon
6080.06,20,Silicon
6086.67,10,Silicon
6125.02,90,Silicon
6131.57,85,Silicon
6131.85,90,Silicon
6142.49,100,Silicon
6145.02,100,Silicon
6155.13,160,Silicon
6237.32,160,Silicon
6238.29,40,Silicon
6243.81,125,Silicon
6244.47,125,Silicon
6254.19,180,Silicon
6331.95,45,Silicon
6347.1,1000,Silicon
6371.36,1000,Silicon
6526.61,45,Silicon
6527.2,45,Silicon
6555.46,45,Silicon
6660.52,50,Silicon
6665,15,Silicon
6671.88,100,Silicon
6699.38,20,Silicon
6717.04,50,Silicon
6721.85,100,Silicon
6741.64,30,Silicon
6750.28,20,Silicon
6818.45,30,Silicon
6829.82,50,Silicon
6848.57,30,Silicon
6976.52,80,Silicon
7003.57,180,Silicon
7005.88,180,Silicon
7017.28,30,Silicon
7017.65,90,Silicon
7034.9,250,Silicon
7164.69,70,Silicon
7165.55,200,Silicon
7184.89,70,Silicon
7193.58,65,Silicon
7193.9,30,Silicon
